3	3246	1952	1	
6	4663	45	1	
11	8470	902	1	
14	4294	584	1	
17	2267	156	1	
28	4669	996	1	
43	4	586	1	
58	3652	1217	1	
62	5260	104	1	
63	5260	703	1	
71	3656	70	1	
85	1181	1786	1	
87	600	1506	1	
100	1729	631	1	
108	4018	457	1	
110	2785	957	1	
111	1735	1573	1	
123	3664	1986	1	
134	4018	2131	1	
139	5263	522	1	
144	4022	1776	1	
145	2785	1218	1	
166	1735	927	1	
167	1735	2372	1	
174	4619	757	1	
231	7	200	1	
248	2267	1030	1	
249	1732	2040	1	
264	1178	272	1	
279	2785	1015	1	
281	2259	552	1	
290	2785	1246	1	
313	2781	2160	1	
315	4666	548	1	
332	2259	1413	1	
341	2259	560	1	
352	4663	363	1	
358	1735	3180	1	
360	5260	370	1	
371	4018	3889	1	
393	6415	960	1	
400	2271	1441	1	
414	2785	205	1	
417	1732	1847	1	
418	594	1091	1	
431	4500	1334	1	
432	3664	1985	1	
434	1735	1440	1	
437	5844	380	1	
443	4022	1493	1	
445	2785	63	1	
447	1181	778	1	
448	1181	1782	1	
470	3664	1492	1	
483	1181	1709	1	
487	3246	78	1	
545	4666	595	1	
556	3246	2531	1	
560	597	1668	1	
561	5260	786	1	
567	3258	2080	1	
571	3246	880	1	
584	3660	1861	1	
587	4670	1076	1	
593	3664	778	1	
595	3258	1897	1	
598	1735	2104	1	
613	2264	1307	1	
628	3660	366	1	
639	2272	118	1	
640	2264	813	1	
645	5267	512	1	
663	3660	1283	1	
672	5842	234	1	
678	4306	315	1	
688	4667	1064	1	
698	3664	192	1	
709	3656	275	1	
720	6419	1002	1	
724	4026	213	1	
725	3660	935	1	
743	3251	1954	1	
755	1736	1314	1	
756	1730	2370	1	
761	3652	1234	1	
775	2794	727	1	
780	5267	230	1	
800	2794	1098	1	
801	2794	566	1	
802	2794	277	1	
818	3247	1083	1	
820	4664	783	1	
829	2782	691	1	
849	3255	52	1	
853	4667	671	1	
861	4018	687	1	
873	1185	140	1	
874	1179	33	1	
883	3255	1166	1	
886	1179	1775	1	
895	1733	2463	1	
905	2786	2020	1	
908	4667	988	1	
919	4492	2572	1	
930	1179	174	1	
936	3665	95	1	
940	2	1558	1	
952	2264	770	1	
976	1733	1377	1	
995	2786	514	1	
997	1179	64	1	
1013	1185	2319	1	
1014	5261	219	1	
1031	2	960	1	
1038	5842	1163	1	
1048	1185	2318	1	
1051	5267	1132	1	
1059	1185	1222	1	
1060	1179	845	1	
1061	595	579	1	
1063	4667	382	1	
1064	5261	524	1	
1075	2260	416	1	
1082	2794	1375	1	
1083	1733	2462	1	
1120	3255	1623	1	
1133	8	542	1	
1141	4496	1370	1	
1142	4014	3305	1	
1160	5	548	1	
1185	2794	1917	1	
1203	4670	629	1	
1213	1179	298	1	
1223	2272	1059	1	
1227	595	1027	1	
1228	2	1154	1	
1231	5267	1130	1	
1239	4014	3302	1	
1240	3255	842	1	
1243	601	680	1	
1254	1730	1641	1	
1255	598	1610	1	
1279	3251	1320	1	
1280	2782	2251	1	
1306	3255	823	1	
1309	1179	78	1	
1316	598	815	1	
1326	2794	157	1	
1337	3259	394	1	
1350	2794	868	1	
1352	1179	669	1	
1359	4492	1412	1	
1364	1185	810	1	
1367	2	1641	1	
1369	4664	1189	1	
1374	3247	553	1	
1375	601	1254	1	
1383	4015	1031	1	
1388	5267	1131	1	
1393	5	788	1	
1400	4019	3357	1	
1404	2273	2081	1	
1406	2261	1582	1	
1418	1730	2059	1	
1419	598	1609	1	
1438	2794	1709	1	
1439	2261	1483	1	
1448	2794	934	1	
1449	1730	1421	1	
1461	5261	789	1	
1467	4302	1661	1	
1496	1179	161	1	
1522	5261	1084	1	
1527	2786	272	1	
1536	3657	1309	1	
1539	4670	610	1	
1544	4019	205	1	
1546	2794	14	1	
1561	3255	1827	1	
1562	2783	1234	1	
1563	1179	827	1	
1567	4664	560	1	
1585	9	7	1	
1586	6	1105	1	
1594	5267	1135	1	
